X,Y,Demand
73.78533205495407,68.65109908777552,38.0
57.88321530465047,51.488088883306425,37.0
91.59677792900861,91.57734730577953,20.0
94.8501759333649,97.42939200674574,21.0
87.35609003607301,96.64709818371925,30.0
82.63997937864322,96.90098263630962,48.0
73.21477240225252,97.56172240669368,39.0
58.99830415126296,90.28831139075449,27.0
55.54870576345744,84.94277296701497,24.0
48.63959967781434,94.26785199611454,43.0
52.19157165002548,69.9406367014664,30.0
44.71730587080509,90.00961230905281,43.0
44.50593240514981,86.57290267374222,33.0
28.33075953015237,75.35931796651413,33.0
22.647320825294603,78.23814998438763,21.0
