X,Y,Demand
6.651688130774791,47.58669787602471,29.0
32.27198053463064,41.770991492750156,22.0
21.165334399307746,31.726607412618048,21.0
1.5691041386025284,21.055362615659313,39.0
10.244003413448876,15.086072413508578,40.0
26.72994049629548,12.050631869350592,37.0
40.89961793729033,16.079453326742545,47.0
36.813570320501086,1.3982255318108372,46.0
46.60935236179764,19.572575509783164,40.0
59.92110827446835,17.184986925202907,40.0
72.42823079163462,14.370081690754343,24.0
80.96412410055846,1.1995262776404392,43.0
66.8069412576917,29.052419616046954,21.0
71.49467302711349,26.012608199331876,26.0
