X,Y,Demand
82.23485941739,13.09652427673118,42.0
91.16216401798327,2.9057403894830025,31.0
84.58021077571985,20.012413607456992,33.0
99.68568963015795,8.043968937179402,30.0
69.73718225839643,39.194496709859635,45.0
96.97941780214255,26.71876896868418,46.0
81.20435511302823,37.29367909828431,30.0
88.26555598824854,42.68905226311443,47.0
95.19513944932417,62.25308931977215,21.0
90.8072083313315,68.51502041594073,35.0
62.14446700013444,52.93233136173554,38.0
81.14876655652473,65.88886345531375,22.0
65.42334437761991,57.529683243117155,23.0
75.90381310541689,66.60613873923941,22.0
