X,Y,Demand
52.20348910041839,50.72978017874458,0.0
85.3084352995351,48.549035785120964,44.0
99.45297634129953,48.83881896182811,23.0
66.61156569841728,50.35187176344553,31.0
94.68109685869506,50.072561033834226,25.0
85.42158786522151,50.84652081766594,29.0
85.65254600749196,51.61245382217354,38.0
87.42040654841703,51.987443524820556,26.0
98.02067278852157,54.035378362448064,21.0
79.69594650567421,52.84095969939847,45.0
56.137413621386266,51.03522948830901,35.0
56.65176610813491,51.120315551026174,30.0
98.6633761450133,55.33252190191559,48.0
80.22261151512765,54.44243865164472,47.0
57.88321530465047,51.488088883306425,45.0
