X,Y,Demand
52.20348910041839,50.72978017874458,0.0
85.07371248825595,74.79077482286947,20.0
76.71765952670977,68.69131403189678,40.0
95.3772805317822,83.62182264348786,50.0
97.13935157543894,85.07674404618949,35.0
95.21237019806398,84.11814373403263,30.0
83.4919526503795,76.25696352146939,22.0
73.78533205495407,68.65109908777552,28.0
84.51709441819455,78.02784516778111,43.0
92.99190845194641,86.33791871260937,28.0
81.59332526783209,76.44766463480885,48.0
88.18595301115162,82.9506310267767,21.0
93.49486768225425,88.00184997177817,21.0
75.2912634213038,71.99967944763861,40.0
78.81777185892727,75.25633956178271,46.0
55.734760958743166,54.0821373862616,24.0
