X,Y,Demand
52.20348910041839,50.72978017874458,0.0
70.6854330687241,87.61829325522929,43.0
61.960619799694186,71.09575362425639,49.0
72.38627636352355,92.88632056023354,31.0
66.15066823149448,80.09678098915704,47.0
57.057320281883875,61.374897876615364,41.0
68.93004238362896,87.47091459621673,27.0
73.21477240225252,97.56172240669368,48.0
62.87966380450024,75.90638155315031,24.0
66.1098109647341,87.19475769978325,40.0
63.38777545664966,81.22746136146252,50.0
59.83538568803542,72.37865863385926,39.0
66.05841222537026,96.43660044080667,34.0
