X,Y,Demand
52.20348910041839,50.72978017874458,0.0
93.87958555852572,41.44393164666753,41.0
89.88839610665993,42.5762230012888,48.0
98.03125983904805,41.52686181431119,25.0
95.75489259833125,42.027155296368534,42.0
90.14911370364948,43.31666552977954,28.0
91.50849041071713,43.91508227301626,25.0
93.93693677983329,43.53380230265657,49.0
90.21636145207171,44.31046271131943,22.0
89.40113901574229,44.52008032733043,27.0
82.98834171569499,46.00772741335595,33.0
79.84154193758881,47.63633237075613,40.0
97.58527932240693,47.35208516748324,31.0
82.38902332414189,48.586483261001256,44.0
96.08055472156909,47.789071687094484,29.0
